,Park Name,Park Alias,City,State
0,Angel Stadium of Anaheim,Edison Field; Anaheim Stadium,Anaheim,CA
1,Rangers Ballpark in Arlington,The Ballpark in Arlington; Ameriquest Fl,Arlington,TX
2,Oriole Park IV,American League Park,Baltimore,MD
3,Terrapin Park,Oriole Park V,Baltimore,MD
4,South End Grounds I,Walpole Street Grounds,Boston,MA
5,Dartmouth Grounds,Union Park,Boston,MA
6,Braves Field,Bee Hive,Boston,MA
7,International Fair Association Grounds,Federal League Park,Buffalo,NY
8,Mahaffey Park,Pastime Park,Canton,OH
9,Lake Front Park I,Union Base-ball Grounds,Chicago,IL
10,South Side Park I,Cricket Club Grounds; Union Grounds,Chicago,IL
11,Comiskey Park I,White Sox Park,Chicago,IL
12,Wrigley Field,Weeghman Park; Cubs Park,Chicago,IL
13,Guaranteed Rate Field,U.S. Cellular Field;White Sox Park; Comiskey Park II,Chicago,IL
14,Cinergy Field,Riverfront Stadium,Cincinnati,OH
15,Crosley Field,Redland Field,Cincinnati,OH
16,Palace of the Fans,League Park III,Cincinnati,OH
17,Lincoln Park Grounds,Union Cricket Club Grounds,Cincinnati,OH
18,East End Park,Pendleton Park,Cincinnati,OH
19,League Park I,Kennard Street Park,Cleveland,OH
20,League Park II,American Association Park,Cleveland,OH
21,Brotherhood Park,Players League Park,Cleveland,OH
22,League Park III,National League Park III,Cleveland,OH
23,League Park IV,Dunn Field,Cleveland,OH
24,Cleveland Stadium,Municipal Stadium,Cleveland,OH
25,Progressive Field,Jacobs Field,Cleveland,OH
26,Burns Park,West End Park,Detroit,MI
27,Tiger Stadium,Navin Field; Briggs Stadium,Detroit,MI
28,Grand Duchess,Hamilton Field,Fort Wayne,IN
29,Geauga Lake Grounds,Beyerle's Park,Geauga Lake,OH
30,Geauga Lake Grounds,Beyerle's Park,Geauga Lake,OH
31,Minute Maid Park,Enron Field; Astros Field,Houston,TX
32,Federal League Park,Washington Park,Indianapolis,IN
33,Kauffman Stadium,Royals Stadium,Kansas City,MO
34,Perry Park,Walte's Pasture,Keokuk,IA
35,Dodger Stadium,Chavez Ravine,Los Angeles,CA
36,Sun Life Stadium,JoeRobbie; ProPlayer; Dolphin; LandShark,Miami,FL
37,Parc Jarry,Jarry Park,Montreal,QC
38,Stade Olympique,Olympic Stadium,Montreal,QC
39,Howard Avenue Grounds,Brewster Park,New Haven,CT
40,Shea Stadium,William A. Shea Stadium,New York,NY
41,Oakland-Alameda County Coliseum,Network Associates Coliseum,Oakland,CA
42,Jefferson Street Grounds,Athletics Park,Philadelphia,PA
43,Shibe Park,Connie Mack Stadium,Philadelphia,PA
44,Chase Field,Bank One Ballpark,Phoenix,AZ
45,Exposition Park I,Lower Field,Pittsburgh,PA
46,Exposition Park II,Upper Field,Pittsburgh,PA
47,Wallace's Ridgewood Park,Ridgewood Park II,Queens,NY
48,Grauer's Ridgewood Park,Ridgewood Park I,Queens,NY
49,Qualcomm Stadium,San Diego/Jack Murphy Stadium,San Diego,CA
50,Candlestick Park,3Com Park,San Francisco,CA
51,AT&T Park,Pacific Bell Park; SBC Park,San Francisco,CA
52,Safeco Field,T-Mobile Park,Seattle,WA
53,Hampden Park Race Track,Springfield Track,Springfield,MA
54,Sportsman's Park III,Busch Stadium I,St. Louis,MO
55,Handlan's Park,Federal League Park,St. Louis,MO
56,Star Park I,Newell Park,Syracuse,NY
57,Rogers Centre,Skydome,Toronto,ON
58,Robert F. Kennedy Stadium,D.C. Stadium,Washington,DC
